serial_number,block_number,trial_number,trial_id,trial_category,trial_gets_repeated,click_category,trial_repetitions,username,shape,int_device,ppi,mm_in_pixel,window_inner_width,window_inner_height,amplitude_mm,amplitude_px,start_size_mm,start_size_px,target_width_mm,target_width_px,target_height_mm,target_height_px,trial_direction,trial_angle_degree,start_center_x_px,start_center_y_px,target_center_x_px,target_center_y_px,start_click_touchdown_position_x_px,start_click_touchdown_position_y_px,start_click_touchup_position_x_px,start_click_touchup_position_y_px,target_click_touchdown_position_x_px,target_click_touchdown_position_y_px,target_click_touchup_position_x_px,target_click_touchup_position_y_px,click_distance_between_target_touchdown_touchup_px,click_distance_to_start_center_touchdown_px,click_distance_to_start_center_touchup_px,click_distance_to_target_center_touchdown_px,click_distance_to_target_center_touchup_px,total_clicks_amount,clicks_amount_after_start_click,click_time_from_start_to_target_ms,start_click_time_touchdown_to_touchup_ms,target_click_time_touchdown_to_touchup_ms
1,1,1,1,C1,false,C1 - Down Target | Up Target,0,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,5,146.75826229152463,8,43.34173228346457,left,360,291.22300496750114,271.82352944859224,182.8686742588397,271.82352944859224,289.98883056640625,288.7730712890625,288.28125,288.5610046386719,188.33705139160156,280.0788879394531,188.33705139160156,280.0788879394531,0,16.994415407838243,16.994028304888424,9.90222663236617,9.90222663236617,2,1,611.5,58.5,49
2,1,2,2,C2,false,C1 - Down Target | Up Target,0,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,10,293.51652458304926,6,32.50629921259843,left,360,298.27943364957173,493.3431746524165,189.92510294091028,493.3431746524165,305.2567138671875,503.15924072265625,304.75445556640625,502.31103515625,199.2857208251953,504.85565185546875,196.77455139160156,502.9471740722656,3.154086139152745,12.043155414194583,11.061122494561937,14.837732256864403,11.796259955390074,2,1,234,54.79999998211861,54.900000005960464
3,1,3,3,C3,false,C1 - Down Target | Up Target,0,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,4,117.4066098332197,8,43.34173228346457,left,360,157.56096683284284,561.4374459922288,49.20663612418139,561.4374459922288,163.828125,562.9583740234375,162.22097778320312,562.9583740234375,51.52901840209961,562.5342407226562,53.73884201049805,559.7775268554688,3.5330994503097353,6.449069201697324,4.901930653690853,2.5683492997413646,4.826615971521431,2,1,251,73.7000000178814,73
4,1,4,4,C4,true,C9 - Down Outside Tolerance | Up Outside,0,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,9,264.16487212474436,10,54.17716535433072,left,360,325.964995784123,450.0603333058792,217.61066507546155,450.0603333058792,329.5647277832031,453.9627990722656,327.7567138671875,453.5386962890625,231.6294708251953,348.3601379394531,232.13169860839844,348.3601379394531,0.502227783203125,5.309172206947062,3.9127052958228217,102.66185587752642,102.73164143745545,2,1,426,35.5,30.30000001192093
5,1,5,5,C5,true,C9 - Down Outside Tolerance | Up Outside,0,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,10,293.51652458304926,5,27.08858267716536,left,360,272.8815271007714,200.48918691719163,164.52719639210994,200.48918691719166,274.4196472167969,213.91815185546875,274.52008056640625,212.64584350585938,210.0334930419922,323.76190185546875,209.73214721679688,323.3377990722656,0.5202619312262629,13.516764139571217,12.266587010026173,131.40390132351783,130.9017535691946,2,1,243.40000000596046,46.599999994039536,48.60000002384186
6,1,6,6,C6,false,C1 - Down Target | Up Target,0,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,8,234.8132196664394,3,16.253149606299214,left,360,259.60093711186533,630.5002136074163,151.24660640320388,630.5002136074163,271.9084777832031,649.688232421875,269.0959777832031,650.1123657226562,146.25,637.38916015625,145.94866943359375,637.1771240234375,0.3684554679588723,22.7959562949365,21.789729414145317,8.510209169064284,8.523454043844797,2,1,309.2999999821186,60.10000002384186,40.5
7,1,7,7,C7,false,C1 - Down Target | Up Target,0,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,3,88.05495737491478,4,21.670866141732287,left,360,215.75093830909987,366.37019222933594,107.39660760043843,366.37019222933594,214.7544708251953,381.4405212402344,212.34375,379.9561462402344,114.20758819580078,368.5052185058594,108.984375,372.5342712402344,6.596606856950175,15.103236869731138,14.006679783585902,7.137772332587249,6.365286746699565,2,1,309.80000001192093,53.5,96.69999998807907
8,1,8,8,C8,false,C4 - Down Inside Tolerance | Up Target,0,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,5,146.75826229152463,3,16.253149606299214,left,360,173.27052024250366,537.0607286549812,64.91618953384224,537.0607286549812,174.375,543.4494018554688,173.27011108398438,543.2373657226562,60.77009201049805,546.2061157226562,64.38616180419922,545.1458129882812,3.7683156239148996,6.483442048584016,6.176637081227003,10.041326072321294,8.102439019873266,2,1,316.30000001192093,40.5,79.7000000178814
9,1,9,9,C9,false,C1 - Down Target | Up Target,0,none,rectangle,touch,137.61,5.417716535433072,412,826,35,189.6200787401575,10,54.17716535433072,10,293.51652458304926,3,16.253149606299214,left,360,344.9495503783417,518.4708245924144,155.3294716381842,518.4708245924144,343.52679443359375,526.9092407226562,340.3125,525.6369018554688,144.04017639160156,526.2730712890625,143.93972778320312,525.8489379882812,0.43586578181910646,8.557517237227275,8.535508160112315,13.723091513207581,13.570660351079068,2,1,360.40000000596046,45.29999998211861,63.80000001192093
10,1,10,10,C10,false,C1 - Down Target | Up Target,0,none,rectangle,touch,137.61,5.417716535433072,412,826,35,189.6200787401575,10,54.17716535433072,2,58.70330491660985,4,21.670866141732287,left,360,218.92679724300402,630.6733628954794,29.306718502846504,630.6733628954794,208.125,632.93603515625,207.421875,633.1480712890625,29.22991180419922,634.2083740234375,29.129465103149414,633.360107421875,0.854193050239922,11.036236198932587,11.768067702509164,3.535845435499803,2.6925851737356368,2,1,669.8999999761581,37.599999994039536,48
