serial_number,block_number,trial_number,trial_id,trial_category,username,shape,int_device,ppi,mm_in_pixel,window_inner_width,window_inner_height,amplitude_mm,amplitude_px,start_size_mm,start_size_px,target_width_mm,target_width_px,target_height_mm,target_height_px,trial_direction,trial_angle_degree,start_center_x_px,start_center_y_px,target_center_x_px,target_center_y_px,click_category,start_click_touchdown_position_x_px,start_click_touchdown_position_y_px,start_click_touchup_position_x_px,start_click_touchup_position_y_px,target_click_touchdown_position_x_px,target_click_touchdown_position_y_px,target_click_touchup_position_x_px,target_click_touchup_position_y_px,click_distance_between_target_touchdown_touchup_px,click_distance_to_start_center_touchdown_px,click_distance_to_start_center_touchup_px,click_distance_to_target_center_touchdown_px,click_distance_to_target_center_touchup_px,isMiss,miss_amount_after_start_click,miss_amount_in_tolerance,clicks_amount,click_time_from_start_to_target_ms,start_click_time_touchdown_to_touchup_ms,target_click_time_touchdown_to_touchup_ms
1,1,1,7,C1,none,rectangle,touch,137.61,5.417716535433072,412,826,50,270.88582677165357,10,54.17716535433072,20,587.0330491660985,10,54.17716535433072,up,90,147.30650215438715,689.7509816290783,147.30650215438712,418.8651548574247,C1 - Down Target | Up Target,150.87054443359375,678.7396240234375,151.77455139160156,680.2239990234375,154.38616943359375,419.8221740722656,156.19419860839844,420.03424072265625,1.8204235114810012,11.573780440602613,10.522683191769799,7.144058689697595,8.964257360145876,false,0,0,2,611.3000000119209,44.10000002384186,41.30000001192093
2,1,2,1,C1,none,rectangle,touch,137.61,5.417716535433072,412,826,50,270.88582677165357,10,54.17716535433072,20,587.0330491660985,10,54.17716535433072,up,90,295.07546865682696,550.0308501796733,295.07546865682696,279.14502340801965,C1 - Down Target | Up Target,301.640625,575.6815795898438,302.5446472167969,574.8333740234375,297.2209777832031,286.44049072265625,298.2254638671875,287.7127990722656,1.621036961146783,26.477560255508617,25.90277624852608,7.604410085620997,9.128485616910389,false,0,0,2,426.80000001192093,38.19999998807907,41.10000002384186
3,1,3,9,C3,none,rectangle,touch,137.61,5.417716535433072,412,826,30,162.53149606299215,10,54.17716535433072,10,293.51652458304926,5,27.08858267716536,right,180,87.75846509245108,197.20940427618257,250.28996115544322,197.20940427618254,C1 - Down Target | Up Target,89.69866180419922,206.2842254638672,91.10491180419922,207.1324462890625,241.6741180419922,200.3467254638672,243.88392639160156,201.40699768066406,2.4510059395510795,9.279910714480392,10.472128168808391,9.16927133366096,7.6587904909910325,false,0,0,2,526.1999999880791,41.799999952316284,40.19999998807907
4,1,4,10,C4,none,rectangle,touch,137.61,5.417716535433072,412,826,30,162.53149606299215,10,54.17716535433072,10,293.51652458304926,5,27.08858267716536,left,360,349.12558656929025,674.9134647258688,186.59409050629807,674.9134647258688,C1 - Down Target | Up Target,345.83709716796875,676.8311157226562,345.7366027832031,677.0431518554688,191.14955139160156,667.2886962890625,191.14955139160156,667.500732421875,0.2120361328125,3.8067765744897084,4.002596453846546,8.881965863053527,8.700622051796286,false,0,0,2,1278.8999999761581,26.600000023841858,29
5,1,5,4,C4,none,rectangle,touch,137.61,5.417716535433072,412,826,30,162.53149606299215,10,54.17716535433072,10,293.51652458304926,5,27.08858267716536,left,360,252.17565713326357,311.40695700203065,89.64416107027142,311.4069570020307,C1 - Down Target | Up Target,258.2477722167969,313.37127685546875,259.5535888671875,315.9159240722656,98.83928680419922,318.4605712890625,98.23661041259766,319.5208435058594,1.2195884579255576,6.3819381126961545,8.64665604213011,11.588952143009315,11.818009134260114,false,0,0,2,644.3000000119209,53.10000002384186,22.100000023841858
6,1,6,6,C6,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,5,146.75826229152463,5,27.08858267716536,new2,315,219.2598281870475,455.6234260366045,142.64174617202323,532.2415080516288,C1 - Down Target | Up Target,245.08929443359375,447.8132629394531,245.49107360839844,448.6614685058594,144.94419860839844,541.7529907226562,144.94419860839844,541.7529907226562,0,26.984439482516155,27.13940104377845,9.786193837392855,9.786193837392855,false,0,0,2,1013.6999999880791,35.10000002384186,20.600000023841858
7,1,7,11,C5,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,5,146.75826229152463,5,27.08858267716536,new1,135,141.5606012915585,608.8303191604597,218.17868330658277,532.2122371454354,C1 - Down Target | Up Target,152.47767639160156,611.9427490234375,153.18080139160156,611.9427490234375,219.47544860839844,536.875732421875,218.671875,537.2998657226562,0.9086361213082406,11.352081236140641,12.029807563589575,4.840432670884617,5.111477534550027,false,0,0,2,720.6999999880791,34.39999997615814,49.80000001192093
8,1,8,5,C5,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,5,146.75826229152463,5,27.08858267716536,new1,135,189.38849668732655,467.38697901451803,266.0065787023508,390.76889699949373,C9 - Down Outside Tolerance | Up Outside,193.45982360839844,484.2864685058594,193.66073608398438,484.2864685058594,182.6116180419922,477.7127990722656,183.515625,478.7730712890625,1.3933433725531903,17.382993066966378,17.43114381015519,120.4739041086596,120.62127563208813,false,0,0,2,15233.899999976158,28.69999998807907,42.69999998807907
9,1,9,4,C4,none,rectangle,touch,137.61,5.417716535433072,412,826,30,162.53149606299215,10,54.17716535433072,10,293.51652458304926,5,27.08858267716536,left,360,306.92654537834824,758.3770992632503,144.39504931535606,758.3770992632503,C1 - Down Target | Up Target,314.7991027832031,758.8958740234375,314.0959777832031,758.4717407226562,144.74330139160156,763.3489990234375,144.44198608398438,763.56103515625,0.36844298910756934,7.889631635541851,7.170057043958703,4.984081332999948,5.184148377793556,false,0,0,2,385.7000000476837,53,24
10,1,10,5,C5,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,5,146.75826229152463,5,27.08858267716536,new1,135,223.58016636122943,631.9231610578843,300.1982483762537,555.30507904286,C1 - Down Target | Up Target,216.26116943359375,640.5699462890625,215.35714721679688,640.35791015625,302.24334716796875,555.5364990234375,302.94647216796875,556.172607421875,0.948165945490409,11.328486697739573,11.779772332353703,2.058150693045809,2.8818985925506015,false,0,0,2,569.4000000357628,35.5,30.80000001192093
11,1,11,8,C2,none,rectangle,touch,137.61,5.417716535433072,412,826,50,270.88582677165357,10,54.17716535433072,20,587.0330491660985,10,54.17716535433072,down,270,233.9067688918262,197.7923029884683,233.90676889182626,468.67812976012186,C1 - Down Target | Up Target,240.9709930419922,206.49627685546875,241.37277221679688,206.92039489746094,224.296875,481.3177185058594,224.49777221679688,481.52978515625,0.29211633970839457,11.209925241553362,11.79250895897434,15.877948994550085,15.927782797726227,false,0,0,2,591.8999999761581,21.30000001192093,15.899999976158142
12,1,12,9,C3,none,rectangle,touch,137.61,5.417716535433072,412,826,30,162.53149606299215,10,54.17716535433072,10,293.51652458304926,5,27.08858267716536,right,180,184.502652398038,455.6592626216685,347.03414846103016,455.6592626216685,C1 - Down Target | Up Target,203.0022430419922,471.3511962890625,203.203125,471.5632629394531,354.4754638671875,464.56549072265625,354.4754638671875,464.56549072265625,0,24.258434331501483,24.548826889381576,11.60577761120461,11.60577761120461,false,0,0,2,462.5999999642372,13.700000047683716,17.200000047683716
13,1,13,11,C5,none,rectangle,touch,137.61,5.417716535433072,412,826,20,108.35433070866144,10,54.17716535433072,5,146.75826229152463,5,27.08858267716536,new1,135,147.57988818178222,407.7112501606032,224.1979701968065,331.09316814557894,C1 - Down Target | Up Target,156.39511108398438,415.3690490722656,156.89732360839844,416.0052185058594,219.8772430419922,342.84674072265625,220.078125,343.4828796386719,0.6671029017494879,11.67690194302272,12.47415383267637,12.522585654367608,13.056725291118315,false,0,0,2,459.80000001192093,27.099999964237213,22.69999998807907
14,2,1,4,C4,none,rectangle,touch,137.61,5.417716535433072,412,826,30,162.53149606299215,10,54.17716535433072,10,293.51652458304926,5,27.08858267716536,left,360,336.5268899734672,189.78226964280051,173.995393910475,189.78226964280054,C1 - Down Target | Up Target,336.69647216796875,198.65029907226562,337.39959716796875,199.49851989746094,172.76785278320312,200.98289489746094,173.27011108398438,202.04315185546875,1.1732042523395698,8.869650730584112,9.755364516947767,11.26769112615713,12.282315246374596,false,0,0,2,441.39999997615814,31.30000001192093,21.899999976158142
