serial_number,block_number,trial_number,trial_id,trial_category,trial_gets_repeated,click_category,trial_repetitions,username,shape,int_device,ppi,mm_in_pixel,window_inner_width,window_inner_height,amplitude_mm,amplitude_px,start_size_mm,start_size_px,target_width_mm,target_width_px,target_height_mm,target_height_px,trial_direction,trial_angle_degree,start_center_x_px,start_center_y_px,target_center_x_px,target_center_y_px,start_click_touchdown_position_x_px,start_click_touchdown_position_y_px,start_click_touchup_position_x_px,start_click_touchup_position_y_px,target_click_touchdown_position_x_px,target_click_touchdown_position_y_px,target_click_touchup_position_x_px,target_click_touchup_position_y_px,click_distance_between_target_touchdown_touchup_px,click_distance_to_start_center_touchdown_px,click_distance_to_start_center_touchup_px,click_distance_to_target_center_touchdown_px,click_distance_to_target_center_touchup_px,total_clicks_amount,clicks_amount_after_start_click,click_time_from_start_to_target_ms,start_click_time_touchdown_to_touchup_ms,target_click_time_touchdown_to_touchup_ms
11,1,11,11,C11,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,7,262.7275477400955,17,104.14842519685041,left,360,283.35123206366103,492.5942011850063,68.9280037172043,492.59420118500634,270.6026916503906,497.43377685546875,271.2053527832031,497.6458435058594,65.08928680419922,491.49627685546875,67.60044860839844,491.49627685546875,2.5111618041992188,13.636230246623184,13.154522934462149,3.9926414028286925,1.722742116599907,2,1,359.7000000178814,48.599999994039536,56.099999994039536
12,1,12,12,C12,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,2,75.0650136400273,6,36.758267716535435,left,360,329.92712092393384,411.3127763504412,115.50389257747712,411.31277635044125,329.765625,414.30877685546875,330.2678527832031,414.30877685546875,114.30803680419922,417.9136962890625,115.71428680419922,418.3377990722656,1.4688098015810749,3.0003499728486,3.0153137856691554,6.708369031781838,7.02817259127767,2,1,384.69999998807907,56.20000001788139,46.30000001192093
13,1,13,13,C13,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,15,562.9876023002048,5,30.631889763779533,left,360,357.0841082856911,259.98650712306943,142.6608799392344,259.9865071230695,347.94647216796875,255.48068237304688,348.046875,255.05654907226562,145.44642639160156,267.5677185058594,147.25448608398438,267.5677185058594,1.8080596923828125,10.188172088153012,10.294468021354415,8.076758945817204,8.864309529998806,2,1,342.69999998807907,55.5,46.900000005960464
14,1,14,14,C14,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,2,75.0650136400273,9,55.137401574803164,left,360,343.74249004789203,540.6088041902385,129.3192617014353,540.6088041902385,330.2678527832031,536.2395629882812,329.8660888671875,536.2395629882812,129.375,546.4181518554688,129.87722778320312,545.5699462890625,0.9857410558070879,14.165313907422735,14.548016304937905,5.809615052087604,4.992419961614507,2,1,350,30.099999994039536,56.19999998807907
15,1,15,15,C15,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,18,675.5851227602458,4,24.505511811023627,left,360,351.5299365968859,434.21576434095397,137.10670825042916,434.215764340954,343.9285888671875,426.6078796386719,342.82366943359375,425.5476379394531,133.69419860839844,438.6949462890625,135.10044860839844,439.33111572265625,1.5434541168233646,10.754552382642828,12.285581110839432,5.631011719150789,5.49471541660932,2,1,352.30000001192093,47,47.400000005960464
16,1,16,16,C16,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,14,525.455095480191,3,18.379133858267718,left,360,308.6176102327384,623.6531267040926,94.19438188628169,623.6531267040926,303.34820556640625,615.3355712890625,304.6540222167969,614.2753295898438,102.95758819580078,621.6972045898438,103.45982360839844,621.2730712890625,0.6573655501307749,9.846235504986678,10.18101707473915,8.978831557625027,9.566246603791692,2,1,735.5,59.80000001192093,37.30000001192093
17,1,17,17,C1,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,5,187.66253410006826,8,49.011023622047254,right,180,209.46682569250746,399.74132353247285,331.9943847476256,399.74132353247285,191.7522430419922,402.6458435058594,193.66073608398438,403.2820129394531,321.4285888671875,414.09674072265625,320.7254638671875,413.4605712890625,0.948206894018385,17.951119039150118,16.197806956170446,17.82453492496496,17.754051278969083,2,1,276.09999999403954,42.20000001788139,38.099999994039536
18,1,18,18,C2,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,10,375.3250682001365,6,36.758267716535435,right,180,99.75653950451243,741.8368906698422,222.28409855963056,741.8368906698422,89.39732360839844,733.87353515625,92.20982360839844,733.87353515625,227.4107208251953,731.5409545898438,227.8125,730.90478515625,0.7524214600512988,13.066307244901301,10.971232923082027,11.501676209022673,12.250475641630896,2,1,225.89999997615814,44.79999998211861,39.79999998211861
19,1,19,19,C3,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,4,150.1300272800546,8,49.011023622047254,right,180,96.666944023492,765.1319387293771,219.19450307861013,765.1319387293771,87.99107360839844,773.3154907226562,89.09599304199219,773.5275268554688,228.61607360839844,776.7083740234375,229.21875,774.7998657226562,2.0014051981407497,11.926493645921195,11.30509614055731,14.925811380469158,13.926749035161428,2,1,266.19999998807907,39.900000005960464,65.2999999821186
20,1,20,20,C4,false,C4 - Down Inside Tolerance | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,9,337.7925613801229,10,61.263779527559066,right,180,231.613810369746,179.6316250925204,354.14136942486414,179.63162509252038,223.8950958251953,190.59226989746094,226.60714721679688,192.2886962890625,343.2254638671875,210.7373504638672,342.5223388671875,203.95164489746094,6.822036704649262,13.405755807127333,13.611323491910476,32.965484146630764,26.953019022234308,3,1,233.2999999821186,47.099999994039536,47.19999998807907
